video_id,title,category,gen_nodes,gt_nodes,svc_precision,svc_recall,svc_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,is_zero_edge_gt
nt4lQx6tAI8,Video nt4lQx6tAI8,Uncategorized,10,10,0.8888888888888888,0.8888888888888888,0.8888888888888888,11,20,0.7272727272727273,0.4,0.5161290322580645,False
nvhG60gFbso,Video nvhG60gFbso,Uncategorized,12,13,0.8,0.8,0.8000000000000002,11,16,0.36363636363636365,0.25,0.2962962962962963,False
O11BgSm7V14,Video O11BgSm7V14,Uncategorized,9,10,0.8571428571428571,0.75,0.7999999999999999,5,13,0.8,0.3076923076923077,0.4444444444444444,False
O5Sn5QCEAzE,Video O5Sn5QCEAzE,Uncategorized,7,7,1.0,1.0,1.0,7,9,1.0,0.7777777777777778,0.8750000000000001,False
oEmuI32GYww,Video oEmuI32GYww,Uncategorized,8,10,0.875,0.7777777777777778,0.823529411764706,8,5,0.5,0.8,0.6153846153846154,False
OQKOHNtyz3E,Video OQKOHNtyz3E,Uncategorized,12,11,0.8888888888888888,0.8888888888888888,0.8888888888888888,11,24,0.8181818181818182,0.375,0.5142857142857142,False
OrC9cLYMbas,Video OrC9cLYMbas,Uncategorized,7,5,0.7142857142857143,1.0,0.8333333333333333,4,7,0.25,0.14285714285714285,0.18181818181818182,False
oTtPNgcZ05I,Video oTtPNgcZ05I,Uncategorized,10,10,0.9,0.9,0.9,3,11,0.6666666666666666,0.18181818181818182,0.28571428571428575,False
OWLGK-eVrTw,Video OWLGK-eVrTw,Uncategorized,7,6,0.8,0.6666666666666666,0.7272727272727272,6,16,0.16666666666666666,0.0625,0.09090909090909091,False
Ozbv9qBsDG8,Video Ozbv9qBsDG8,Uncategorized,14,11,0.7272727272727273,1.0,0.8421052631578948,12,17,0.5833333333333334,0.4117647058823529,0.4827586206896552,False
PBa68gCG0Uk,Video PBa68gCG0Uk,Uncategorized,6,7,1.0,0.8333333333333334,0.9090909090909091,6,7,0.8333333333333334,0.7142857142857143,0.7692307692307692,False
Pc7_uOdlGKo,Video Pc7_uOdlGKo,Uncategorized,9,9,0.875,0.875,0.875,9,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,False
PgeQufaQy7I,Video PgeQufaQy7I,Uncategorized,7,8,1.0,0.875,0.9333333333333333,6,8,1.0,0.75,0.8571428571428571,False
phN08pi3YzY,Video phN08pi3YzY,Uncategorized,6,5,0.5,0.75,0.6,0,0,0.0,0.0,0.0,True
pk5yddJpC_8,Video pk5yddJpC_8,Uncategorized,9,9,0.8333333333333334,0.8333333333333334,0.8333333333333334,8,10,0.875,0.7,0.7777777777777777,False
PoYiSKUy8sE,Video PoYiSKUy8sE,Uncategorized,12,14,0.8571428571428571,0.6666666666666666,0.75,10,19,0.6,0.3157894736842105,0.41379310344827586,False
pZ7Lr94noLo,Video pZ7Lr94noLo,Uncategorized,11,13,1.0,0.875,0.9333333333333333,8,15,0.75,0.4,0.5217391304347827,False
Q6r_QbYXFpg,Video Q6r_QbYXFpg,Uncategorized,11,11,1.0,1.0,1.0,9,9,1.0,1.0,1.0,False
q_5U7z_vNug,Video q_5U7z_vNug,Uncategorized,8,8,0.625,0.625,0.625,11,15,0.5454545454545454,0.4,0.4615384615384615,False
qgW8LQ8iBuA,Video qgW8LQ8iBuA,Uncategorized,10,10,0.7142857142857143,0.7142857142857143,0.7142857142857143,3,4,0.6666666666666666,0.5,0.5714285714285715,False
qi017F1UwvM,Video qi017F1UwvM,Uncategorized,17,17,1.0,1.0,1.0,17,24,0.8235294117647058,0.5833333333333334,0.6829268292682927,False
Qi9soN5bpU4,Video Qi9soN5bpU4,Uncategorized,8,8,1.0,1.0,1.0,6,10,1.0,0.6,0.7499999999999999,False
qIO_54vJ_JI,Video qIO_54vJ_JI,Uncategorized,7,8,1.0,0.8333333333333334,0.9090909090909091,6,7,1.0,0.8571428571428571,0.923076923076923,False
QJZHs1CSxu0,Video QJZHs1CSxu0,Uncategorized,6,6,1.0,1.0,1.0,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,False
QM96Fv_NAnw,Video QM96Fv_NAnw,Uncategorized,6,7,1.0,0.8571428571428571,0.923076923076923,5,6,0.6,0.5,0.5454545454545454,False
qN5-v4NlKac,Video qN5-v4NlKac,Uncategorized,10,10,0.875,1.0,0.9333333333333333,9,10,0.8888888888888888,0.8,0.8421052631578948,False
QnmmTIYZxNI,Video QnmmTIYZxNI,Uncategorized,8,8,1.0,1.0,1.0,5,6,0.4,0.3333333333333333,0.3636363636363636,False
